,Year,Type,Distance_km,Stage
445,1934,Stage with mountains,227.0,1
446,1934,Stage with mountains,229.0,1
447,1935,Individual time trial,33.0,1
448,1935,Individual time trial,55.0,1
449,1935,Individual time trial,56.0,1
450,1935,Individual time trial,58.0,1
451,1935,Individual time trial,63.0,1
452,1935,Individual time trial,95.0,1
453,1935,Flat,81.0,1
454,1935,Flat,103.0,1
455,1935,Flat,112.0,1
456,1935,Flat,156.0,1
457,1935,Flat,158.0,1
458,1935,Flat,161.0,1
459,1935,Flat,192.0,1
460,1935,Flat,195.0,1
461,1935,Flat,220.0,1
462,1935,Flat,221.0,1
463,1935,Flat,224.0,1
464,1935,Flat,262.0,2
465,1935,Stage with mountains,102.0,1
466,1935,Stage with mountains,126.0,1
467,1935,Stage with mountains,194.0,1
468,1935,Stage with mountains,207.0,1
469,1935,Stage with mountains,220.0,1
470,1935,Stage with mountains,227.0,1
471,1935,Stage with mountains,229.0,1
472,1935,Stage with mountains,325.0,1
473,1936,Individual time trial,52.0,1
474,1936,Individual time trial,55.0,1
475,1936,Individual time trial,63.0,1
476,1936,Individual time trial,65.0,1
477,1936,Individual time trial,75.0,1
478,1936,Flat,67.0,1
479,1936,Flat,81.0,1
480,1936,Flat,103.0,1
481,1936,Flat,112.0,1
482,1936,Flat,117.0,1
483,1936,Flat,156.0,1
484,1936,Flat,161.0,1
485,1936,Flat,192.0,1
486,1936,Flat,195.0,1
487,1936,Flat,204.0,1
488,1936,Flat,229.0,1
489,1936,Flat,234.0,1
490,1936,Flat,258.0,1
491,1936,Flat,298.0,1
492,1936,Stage with mountains,126.0,1
493,1936,Stage with mountains,194.0,2
494,1936,Stage with mountains,212.0,1
495,1936,Stage with mountains,220.0,2
496,1936,Stage with mountains,230.0,1
497,1936,Stage with mountains,325.0,1
498,1937,Individual time trial,59.0,1
499,1937,Flat,37.0,1
500,1937,Flat,51.0,1
501,1937,Flat,63.0,1
502,1937,Flat,67.0,1
503,1937,Flat,93.0,1
504,1937,Flat,99.0,1
505,1937,Flat,103.0,1
506,1937,Flat,112.0,1
507,1937,Flat,114.0,1
508,1937,Flat,123.0,1
509,1937,Flat,161.0,1
510,1937,Flat,169.0,1
511,1937,Flat,172.0,1
512,1937,Flat,175.0,1
513,1937,Flat,192.0,1
514,1937,Flat,234.0,1
515,1937,Flat,235.0,1
516,1937,Flat,263.0,1
517,1937,Stage with mountains,59.0,1
518,1937,Stage with mountains,167.0,1
519,1937,Stage with mountains,180.0,1
520,1937,Stage with mountains,194.0,2
521,1937,Stage with mountains,220.0,2
522,1937,Stage with mountains,228.0,1
523,1937,Stage with mountains,251.0,1
524,1937,Team time trial,34.0,1
525,1937,Team time trial,65.0,1
526,1937,Team time trial,82.0,1
527,1938,Individual time trial,27.0,1
528,1938,Individual time trial,42.0,1
529,1938,Flat,48.0,1
530,1938,Flat,53.0,1
531,1938,Flat,62.0,1
532,1938,Flat,63.0,1
533,1938,Flat,73.0,1
534,1938,Flat,83.0,2
535,1938,Flat,89.0,1
536,1938,Flat,107.0,1
537,1938,Flat,115.0,1
538,1938,Flat,143.0,1
539,1938,Flat,171.0,1
540,1938,Flat,186.0,1
541,1938,Flat,196.0,1
542,1938,Flat,198.0,1
543,1938,Flat,199.0,1
544,1938,Flat,215.0,1
545,1938,Flat,223.0,1
546,1938,Flat,237.0,1
547,1938,Flat,238.0,1
548,1938,Flat,279.0,1
549,1938,Stage with mountains,193.0,1
550,1938,Stage with mountains,219.0,1
551,1938,Stage with mountains,260.0,1
552,1938,Stage with mountains,284.0,2
553,1938,Stage with mountains,311.0,1
554,1939,Individual time trial,27.0,1
555,1939,Individual time trial,59.0,1
556,1939,Individual time trial,64.0,1
557,1939,Individual time trial,69.0,1
558,1939,Mountain time trial,64.0,1
559,1939,Flat,70.0,1
560,1939,Flat,104.0,1
561,1939,Flat,107.0,1
562,1939,Flat,119.0,1
563,1939,Flat,122.0,1
564,1939,Flat,144.0,1
565,1939,Flat,149.0,1
566,1939,Flat,151.0,1
567,1939,Flat,157.0,1
568,1939,Flat,174.0,1
569,1939,Flat,175.0,1
570,1939,Flat,198.0,1
571,1939,Flat,201.0,1
572,1939,Flat,207.0,1
573,1939,Flat,210.0,1
574,1939,Flat,212.0,1
575,1939,Flat,215.0,1
576,1939,Flat,244.0,1
577,1939,Stage with mountains,101.0,1
578,1939,Stage with mountains,126.0,1
579,1939,Stage with mountains,219.0,1
580,1939,Stage with mountains,226.0,1
581,1939,Stage with mountains,311.0,1
582,1947,Individual time trial,139.0,1
583,1947,Flat,165.0,1
584,1947,Flat,172.0,1
585,1947,Flat,182.0,1
586,1947,Flat,195.0,1
587,1947,Flat,223.0,1
588,1947,Flat,230.0,1
589,1947,Flat,235.0,1
590,1947,Flat,236.0,2
591,1947,Flat,248.0,1
592,1947,Flat,249.0,1
593,1947,Flat,257.0,1
594,1947,Flat,272.0,1
595,1947,Flat,314.0,1
596,1947,Stage with mountains,172.0,1
597,1947,Stage with mountains,185.0,1
598,1947,Stage with mountains,195.0,1
599,1947,Stage with mountains,217.0,1
600,1947,Stage with mountains,253.0,1
601,1947,Stage with mountains,255.0,1
602,1948,Individual time trial,120.0,1
603,1948,Flat,166.0,1
604,1948,Flat,195.0,1
605,1948,Flat,228.0,1
606,1948,Flat,237.0,1
607,1948,Flat,244.0,1
608,1948,Flat,245.0,1
609,1948,Flat,246.0,1
610,1948,Flat,248.0,1
611,1948,Flat,249.0,1
612,1948,Flat,251.0,1
613,1948,Flat,259.0,1
614,1948,Flat,262.0,1
615,1948,Flat,286.0,1
616,1948,Stage with mountains,170.0,1
617,1948,Stage with mountains,219.0,1
618,1948,Stage with mountains,243.0,1
619,1948,Stage with mountains,256.0,1
620,1948,Stage with mountains,261.0,1
621,1948,Stage with mountains,263.0,1
